,VideoID,Title,Description,View_Count,Like_Count,Dislike_Count,Favorite_Count,Comment_Count,Duration,Definition
20,15s4Y9ffW_o,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"Twelve Monkeys movie clips: http://j.mp/1J8Uktc
BUY THE MOVIE: http://amzn.to/uctI2e
Don't miss the HOTTEST NEW TRAILERS: http://bit.ly/1u2y6pr

CLIP DESCRIPTION:
In a futuristic world devastated by disease, a convict (Bruce Willis) is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.

FILM DESCRIPTION:
An intense film about time travel, this sci-fi entry was directed by Terry Gilliam, a member of the comedy troupe Monty Python. The film stars Bruce Willis as James Cole, a prisoner of the state in the year 2035 who can earn parole if he agrees to travel back in time and thwart a devastating plague. The virus has wiped out most of the Earth's population and the remainder live underground because the air is poisonous. Returning to the year 1990, six years before the start of the plague, Cole is soon imprisoned in a psychiatric facility because his warnings sound like mad ravings. There he meets a scientist named Dr. Kathryn Railly (Madeleine Stowe) and Jeffrey Goines (Brad Pitt), the mad son of an eminent virologist (Christopher Plummer). Cole is returned by the authorities to the year 2035, and finally ends up at his intended destination in 1996. He kidnaps Dr. Railly in order to enlist her help in his quest. Cole discovers graffiti by an apparent animal rights group called the Army of the Twelve Monkeys, but as he delves into the mystery, he hears voices, loses his bearings, and doubts his own sanity. He must figure out if Goines, who seems to be a raving lunatic, holds the key to the puzzle.

CREDITS:
TM & © Universal (1995)
Cast: Brad Pitt, Christopher Plummer, Christopher Meloni
Director: Terry Gilliam
Producers: Robert Cavallo, Mark Egerton, Robert Kosberg, Gary Levinsohn, Lloyd Phillips, Charles Roven, Kelley Smith-Wait
Screenwriters: Chris Marker, David Webb Peoples, Janet Peoples

WHO ARE WE?
The MOVIECLIPS channel is the largest collection of licensed movie clips on the web. Here you will find unforgettable moments, scenes and lines from all your favorite films. Made by movie fans, for movie fans.

SUBSCRIBE TO OUR MOVIE CHANNELS:
MOVIECLIPS: http://bit.ly/1u2yaWd
ComingSoon: http://bit.ly/1DVpgtR
Indie & Film Festivals: http://bit.ly/1wbkfYg
Hero Central: http://bit.ly/1AMUZwv
Extras: http://bit.ly/1u431fr
Classic Trailers: http://bit.ly/1u43jDe
Pop-Up Trailers: http://bit.ly/1z7EtZR
Movie News: http://bit.ly/1C3Ncd2
Movie Games: http://bit.ly/1ygDV13
Fandango: http://bit.ly/1Bl79ye
Fandango FrontRunners: http://bit.ly/1CggQfC

HIT US UP:
Facebook: http://on.fb.me/1y8M8ax
Twitter: http://bit.ly/1ghOWmt
Pinterest: http://bit.ly/14wL9De
Tumblr: http://bit.ly/1vUwhH7",2593063,7469,297,0,874,PT2M51S,hd
21,3_wez2B83ic,Wings of Courage (1995),"All your favorite Crackle content has made the move over to http://www.Crackle.com. Create a free account and enjoy!
 
SUBSCRIBE for more series like this: http://bit.ly/CrackleSub
 
Starting in 2014 Crackle movies & shows will be available only at http://bit.ly/CrackleDotCom. Create a free Crackle account for full access here: http://bit.ly/CrackleSignUp
 
Connect with Crackle Online:
Visit the Crackle WEBSITE: http://bit.ly/CrackleWeb
Like Crackle on FACEBOOK: http://bit.ly/CrackleFaceBook
Follow Crackle on TWITTER: http://bit.ly/CrackleTwitter
 
About Crackle:
Crackle, a unit of Sony Pictures Television, programs Hollywood movies, TV shows and original series and movies for the world's connected audience. With 25 million viewers across 22 countries, Crackle specializes in genres such as Action, Comedy, Crime, Horror and Sci-fi. Original series on Crackle include the psychological thriller Chosen; Cleaners, starring David Arquette and Gina Gershon; the first ever made for digital movie Extraction; and the Emmy nominated Comedians in Cars Getting Coffee. Crackle is always freely accessible on every screen, with no subscription or authentication required.
 
Wings of Courage - Trailer | Crackle
http://www.youtube.com/user/crackle",3794,5,1,0,0,PT1M4S,sd
22,tVxeoUtVF0o,Babe (1995),"Babe (Chris Noonan, USA - AUST, 1995) Trailer
Info: http://www.imdb.com/title/tt0112431/
+
No Sala de Exibição:
http://saladeexibicao.blogspot.com/2010/04/026-babe-o-porquinho-atrapalhado.html
+
Revista ÉPOCA - 300 filmes para ver antes de morrer:
http://saladeexibicao.blogspot.com/2009/11/epoca-300-filmes-para-assistir-antes-de.html",135416,94,5,0,7,PT2M9S,sd
23,ccq3f9-lQyM,Carrington (1995),"Carrington Trailer 1995
Director: Christopher Hampton
Starring: Jonathan Pryce, Emma Thompson, Rufus Sewell, Samuel West, Steven Waddington,  

Official Content From MGM Home Entertainment

A famous woman painter and an infamous gay intellectual flout contemporary values of love, art, life and sex in the midst of morally rigid England, during the years just after World War I.

Movie, Carrington Movie,Carrington Trailer,Carrington 1995, Christopher Hampton,Jonathan Pryce, Emma Thompson, Rufus Sewell, Samuel West, Steven Waddington,",31530,94,8,0,11,PT2M32S,sd
24,pg-GMqPHIPQ,Dead Man Walking (1995),"Dead Man Walking is a 1995 film based on the book of the same name, which tells the story of Sister Helen Prejean (played by Susan Sarandon), who establishes a special relationship with Matthew Poncelet, a prisoner on death row (played by Sean Penn).
All Sound Tracks
""The Face of Love""
Performed by Nusrat Fateh Ali Khan with Eddie Vedder
Written by David Robbins, Tim Robbins & Nusrat Fateh Ali Khan
Nusrat Fateh Ali Khan courtesy of Real World Records Ltd.
Eddie Vedder courtesy of Epic Records
    * ""In Your Mind""
      Performed & Written by Johnny Cash
      Produced by Ry Cooder
      Johnny Cash courtesy of American Recordings


    * ""I Will Not Be Sad in This World""
      Armenian Traditional
      Arranged by David Robbins


    * ""This Is The Day The Lord Has Made""
      Performed by Rev. Donald R. Smith and The Golden Voices Gospel Choir Of St. Francis De Sales Catholic Church
      Text written by Isaac Watts
      Arranged by Donald R. Smith and David Richard Campbell (as David Campbell)


    * ""Dle Yaman""
      Armenian Traditional
      Arranged by David Robbins


    * ""A Cool Wind Is Blowing""
      Armenian Traditional
      Arranged by David Robbins


    * ""Sacred Love""
      Performed by The Dusing Singers
      Soloist Gale Limansky
      Written by Georgi Sviridov
      Arranged by Gil Robbins


    * ""Isa Lei""
      Performed by Ry Cooder & Vishwamohan Bhatt (as Vishwa M. Bhatt)
      Written by A.W. Caten
      Courtesy of Water Lily Acoustic, Inc. & Jhankar Corp.


    * ""The Long Road""
      Performed by Eddie Vedder with Nusrat Fateh Ali Khan
      Written by Eddie Vedder
      Eddie Vedder courtesy of Epic Records
      Nusrat Fateh Ali Khan courtesy of Real World Records Ltd.


    * ""Shadow""
      (1993)
      Performed & Written by Nusrat Fateh Ali Khan
      Courtesy of Real World Records Ltd.


    * ""Be Not Afraid""
      Performed by Susan Sarandon
      Written by Bob Dufford


    * ""Dead Man Walkin'""
      Performed & Written by Bruce Springsteen
      Bruce Springsteen courtesy of Columbia Records",909944,992,54,0,241,PT2M29S,sd
25,qpQ-CnutDy0,Across the Sea of Time (1995),"A great film resource for then and now view of nyc streets
as well as nyc history and immigration
Only available on VHS
http://www.amazon.com/Across-Sea-Time-VHS/dp/0800191617/ref=sr_1_2?ie=UTF8&s=video&qid=1265048343&sr=8-2-catcorr",14845,77,7,0,15,PT3M42S,sd
26,6PKq7YSpO6c,It Takes Two (1995),"It Takes Two Trailer 1995
Starring: Kirstie Alley, Steve Guttenberg, Mary-Kate Olsen, Ashley Olsen, Philip Bosco,  

Official Content From Warner Home Video

Two identical strangers from opposite sides of the track switch places to play matchmaker to a loving social worker and a widowed financier.

Movie, It Takes Two Movie,It Takes Two Trailer,It Takes Two 1995, Kirstie Alley, Steve Guttenberg, Mary-Kate Olsen, Ashley Olsen, Philip Bosco,",535328,1614,72,0,98,PT1M56S,sd
27,XuHEa7pWAQY,Clueless (1995),"At a Harold Lloyd Masters Seminar talk at the AFI Conservatory, Director and AFI alum Amy Heckerling describes how she cast Alicia Silverstone and Paul Rudd in CLUELESS.

Heckerling first saw Silverstone while watching an Aerosmith music videos on her treadmill. She considered Adam Horovitz for the role of Josh.

Subscribe to this channel for more exclusive videos from the AFI Archive:
https://www.youtube.com/subscription_center?add_user=AFI

Follow AFI:
https://www.facebook.com/AmericanFilmInstitute
https://twitter.com/AmericanFilm
https://instagram.com/americanfilminstitute
http://americanfilminstitute.tumblr.com
http://www.afi.com",10203,70,2,0,7,PT1M47S,sd
28,OXc0-EME0C8,Richard III (1995),"Richard III - Ian McKellen - Original Trailer  by Film&Clips

""Richard III"" (Riccardo III). Directed by Richard Loncraine, with Ian McKellen, Annette Bening, Jim Broadbent, Robert Downey Jr., Nigel Hawthorne, Kristin Scott Thomas, Maggie Smith, Dominic West

The classic Shakespearean play about a murderously scheming king staged in an alternative fascist England setting. 

Riccardo III è un film del 1995 diretto da Richard Loncraine, che ambienta l'omonima tragedia di Shakespeare negli anni venti del Novecento, in un'immaginaria Inghilterra sotto una dittatura di stampo fascista.
In un'Inghilterra del primo ventennio del Novecento, una cruenta guerra civile termina con l'uccisione del re Enrico. Gli succede il figlio Riccardo, con la moglie americana Annette e tre figli a carico. Ma il duca di Gloucester, suo fratello, si oppone e cerca di rubare il trono a Riccardo uccidendo molte persone...

Connect with Film & Clips here:
Facebook: https://www.facebook.com/FilmClips-1716901998587585
Twitter: https://twitter.com/filmandclips

Download our App here: https://itunes.apple.com/it/app/film-clips/id1142643423?mt=8

Il più bel canale di cinema gratuito e legale di Youtube.
The best FREE & LEGAL Youtube Channel: movies, clips, docs, short movies from all around the world - italian, english, spanish, french, deutsch, and other subtitles available!
Iscriviti a Film&Clips: http://bit.ly/2gKbdoL
Facebook: https://www.facebook.com/FilmClips-1716901998587585
Twitter: https://twitter.com/filmandclips
App: http://apple.co/2bgqnM6
 
Tutte le playlist: http://bit.ly/2hF4qO6
Film&Clips Movie Clips Collection: http://bit.ly/2h0wEyM
Film&Clips Original Trailers: http://bit.ly/2gL5uOT
Film&Clips Soft Sexy: http://bit.ly/2hlMWW4
Film&Clips English: http://bit.ly/2gIQwKI
Film&Clips Film in Italiano Completi: http://bit.ly/2hlBmu8
Film&Clips Interviste & Backstage: http://bit.ly/2hNBFej
Film&Clips - Français: http://bit.ly/2hNBv6r
Film&Clips - Español: http://bit.ly/2hlK8rY
Film&Clips - Deutsch: http://bit.ly/2hFeLJW
Film&Clips - Japanese: http://bit.ly/2hBaQe1
Film&Clips Fashion: http://bit.ly/2g0NLm8

Download our App here: https://itunes.apple.com/it/app/film-clips/id1142643423?mt=8

Film & Clips offers a wide selection of FREE & LEGAL movie content on Youtube: full movies, clips, documentaries, short movies, trailers from all around the world in different languages and subtitles. 
Don't miss our vast array of genres: horror, adventure, drama, comedy, cult and b-movies, spaghetti western, Italian cult movies all free in streaming on our channel.",310279,972,34,0,126,PT3M,sd
29,CvsAuHYBgEQ,Restoration (1995),"Starring: Robert Downey Jr., Sam Neill, and David Thewlis
Restoration (1995) Official Trailer 1 - Robert Downey Jr. Movie

The exiled royal physician to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman.

Subscribe to CLASSIC TRAILERS: http://bit.ly/1u43jDe
Subscribe to TRAILERS: http://bit.ly/sxaw6h
Subscribe to COMING SOON: http://bit.ly/H2vZUn
We're on SNAPCHAT: http://bit.ly/2cOzfcy
Like us on FACEBOOK: http://bit.ly/1QyRMsE
Follow us on TWITTER: http://bit.ly/1ghOWmt

Welcome to the Fandango MOVIECLIPS Trailer Vault Channel. Where trailers from the past, from recent to long ago, from a time before YouTube, can be enjoyed by all. We search near and far for original movie trailer from all decades. Feel free to send us your trailer requests and we will do our best to hunt it down.",156124,1013,53,0,71,PT2M12S,hd
30,JHIfHL5UgFs,Mortal Kombat (1995),"Mortal Kombat (1995) Official Trailer - Action Movie HD
Subscribe to CLASSIC TRAILERS: http://bit.ly/1u43jDe
Subscribe to TRAILERS: http://bit.ly/sxaw6h
Subscribe to COMING SOON: http://bit.ly/H2vZUn
Like us on FACEBOOK: http://bit.ly/1QyRMsE
Follow us on TWITTER: http://bit.ly/1ghOWmt

Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world.

Welcome to the Fandango MOVIECLIPS Trailer Vault Channel. Where trailers from the past, from recent to long ago, from a time before YouTube, can be enjoyed by all. We search near and far for original movie trailer from all decades. Feel free to send us your trailer requests and we will do our best to hunt it down.",3058788,15101,504,0,1988,PT1M48S,hd
31,Y1uPXA1ceNo,To Die For (1995),Trailer for Gus Van Sant's film,355513,221,30,0,36,PT2M24S,sd
32,K5_2VgJUSBA,How to Make an American Quilt (1995),"How To Make An American Quilt Trailer 1995
Director: Jocelyn Moorhouse
Starring: Alfre Woodard, Anne Bancroft, Ellen Burstyn, Kate Nelligan, Winona Ryder, Maya Angelou

Official Content From Universal Studios Home Entertainment

A young woman's plans for marriage are complicated when she gets a crush on another man. As she wrestles with her decision, the women in her grandmother's quilting bee confide in her the romantic stories that shaped their lives.

Movie, How To Make An American Quilt Movie,How To Make An American Quilt Trailer,How To Make An American Quilt 1995, Jocelyn Moorhouse,Alfre Woodard, Anne Bancroft, Ellen Burstyn, Kate Nelligan, Winona Ryder, Maya Angelou",187001,664,18,0,42,PT2M26S,sd
33,SpKbZ_3zlb0,Seven (a.k.a. Se7en) (1995),"Se7en (1995)
Directed by David Fincher
Starring Brad Pitt and Morgan Freeman

The original trailer remastered in 1080p. NOT official. Fan-remake.",382334,1404,35,0,79,PT2M24S,hd
34,DSf_pVG8QZM,Pocahontas (1995),Trailer for Pocahontas (1995) captured from the The Santa Clause (1994) VHS tape. This tape is labeled 3633 and released in (1994).,203328,266,30,0,56,PT1M59S,sd
35,J5mszOh_Qis,When Night Is Falling (1995),"Watch the full film here: http://buskfilms.com/films/when-night-is-falling/

An uptight and conservative woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited liberal woman who works at a  local carnival that comes to town.",2433370,2580,401,0,71,PT2M5S,sd
36,oiXdPolca5w,"Usual Suspects, The (1995)","Who is KEYSER SOZE? a brilliant movie that will stay for another 100 years for sure.
Following a truck hijack in New York, five conmen are arrested and brought together for questioning. As none of them is guilty, they plan a revenge operation against the police. The operation goes well, but then the influence of a legendary mastermind criminal called Keyser Söze is felt. It becomes clear that each one of them has wronged Söze at some point and must pay back now. The payback job leaves 27 men dead in a boat explosion, but the real question arises now: Who actually is Keyser Söze?

Released on 1995
Starring: Kevin Spacey, Gabriel Byrne, Stephen Baldwin, Kevin Pollak, Pete Postlethwaite, Benicio Del Toro, Chazz Palminteri",3488126,9250,285,0,588,PT2M25S,hd
37,2BBKx2Hji_0,Guardian Angel (1994),production of the PM Entertainment,10948,35,2,0,3,PT1M51S,sd
38,3Fd6ZlgOFqs,Lamerica (1994), ,7176,10,1,0,2,PT2M41S,sd
39,ThH8WocPRM0,Home for the Holidays (1995),"Home For The Holidays Trailer 1995
Director: Jodie Foster
Starring: Anne Bancroft, Charles Durning, Dylan McDermott, Holly Hunter, Robert Downey, Jr., Steve Guttenberg

Official Content From PolyGram Video

After losing her job, a single mother makes a trip back home to visit her disapproving family for Thanksgiving. Her own problems soon pale beside their dysfunctional antics.

Movie, Home For The Holidays Movie,Home For The Holidays Trailer,Home For The Holidays 1995, Jodie Foster,Anne Bancroft, Charles Durning, Dylan McDermott, Holly Hunter, Robert Downey, Jr., Steve Guttenberg",49840,98,9,0,4,PT3M3S,sd
40,0or7hSz-7gc,"Postman, The (Postino, Il) (1994)","Available on DVD and Blu Ray through www.umbrellaent.com.au

When he found the power to express what was in his heart, he found the love of a lifetime.

Mario (Oscar® nominee Massimo Troisi in his final screen performance) is a newly appointed mailman who is madly in love with the most beautiful woman in town, Beatrice Russo (Maria Grazia Cucinotta). Bumbling, interminably shy and far too nervous to tell her how he feels, Mario becomes inspired when a world-famous Chilean poet visits the small island community. Pablo Neruda (Award winning actor Philippe Noiret, Cinema Paradiso) is a revelation to the otherwise introverted and soft spoken Mario and with his expert help Mario not only finds the right words to woo Beatrice but has a fighting chance to win her over.",41638,105,2,0,3,PT1M54S,sd
41,jY56N6irNCk,Eye for an Eye (1996),"An excellent movie! Kiefer is really creepy, but great.",230823,206,17,0,98,PT56S,sd
42,JYoWGIrXiz0,Mr. Holland's Opus (1995),"When we're young our dreams lie out in front of us, there for the taking, and our plans seem so clear. But like many of us, Glenn Holland (Richard Dreyfuss) never could have predicted the course his own life would take, when he reluctantly accepts a job as a teacher. 

A musician and composer consumed with a love for music, Holland's true goal is to write one memorable piece of music to leave his mark on the world. But instead, he finds his calling in the most unlikely place, sharing his love of music with his students--to let it fill their lives, the way it fills his. His students respond to his contagious passion, and as the years unfold, Holland finds himself on an unplanned path. 

Redefining success and his own dreams, Holland realizes that his legacy will be greater than he ever dreamed. And with the help of his students and his family, Glenn Holland learns that though our lives don't always turn out the way we plan them, life is what happens when you embrace the unexpected.

Genres: Drama and Musical/Performing Arts 
 
Running Time: 2 hrs. 25 min. 
 
MPAA Rating: PG 
 
Distributors: Buena Vista Pictures Distribution 
 
Production Co.: Hollywood Pictures, Radar Pictures, Charlie Mopic Company 
 
U.S. Box Office: $82,564,043 
 
Filming Locations: Portland, Oregon, USA 
 
Produced in: United States

Starring: Richard Dreyfuss, Glenne Headly, Jay Thomas, Olympia Dukakis, William H. Macy
  
Directed by: Stephen Herek, Steve Boyum
  
Produced by: Scott Kroopf, Patrick Sheane Duncan, Ted Field",15939,25,1,0,1,PT1M4S,sd
